Subject,Body,Sender,BodyLength,HasLink,NumExclamations,HasSuspiciousWord,SenderDomainReputation,NumUppercaseWords,HasAttachment,Spam
discount only,This is your chance to discount 5989 dollars!!!,user702@cheapoffers.com,47,2,3,1,0,0,1,1
urgent today,This is your chance to prize 2088 dollars!!!,user864@freemoney.org,44,2,3,1,0,0,1,1
crypto only,This is your chance to lottery 3156 dollars!!!,user274@lottery.net,46,2,3,1,0,0,0,1
schedule update,"Hello, here is the family information you requested.",maria@udec.edu,52,0,0,0,1,0,0,0
gift today,This is your chance to free 8155 dollars!!!,user631@cheapoffers.com,43,0,3,1,1,0,1,1
urgent today,This is your chance to money 9037 dollars!!!,user659@lottery.net,44,2,3,1,0,0,1,1
urgent today,This is your chance to discount 5200 dollars!!!,user346@lottery.net,47,0,3,1,1,0,1,1
team update,"Hello, here is the university information you requested.",john@outlook.com,56,1,0,0,1,0,0,0
university update,"Hello, here is the meeting information you requested.",lucia@udec.edu,53,1,0,0,1,0,1,0
project update,"Hello, here is the update information you requested.",lucia@udec.edu,52,0,0,0,1,0,1,0
report update,"Hello, here is the family information you requested.",maria@gmail.com,52,0,0,0,1,0,0,0
report update,"Hello, here is the family information you requested.",maria@gmail.com,52,1,0,0,1,0,1,0
university update,"Hello, here is the family information you requested.",lucia@outlook.com,52,0,0,0,1,0,1,0
family update,"Hello, here is the document information you requested.",lucia@outlook.com,54,1,0,0,1,0,1,0
report update,"Hello, here is the report information you requested.",lucia@outlook.com,52,0,0,0,1,0,1,0
invoice update,"Hello, here is the schedule information you requested.",john@udec.edu,54,0,0,0,1,0,1,0
crypto now,This is your chance to offer 7768 dollars!!!,user502@freemoney.org,44,1,3,1,1,0,1,1
family update,"Hello, here is the family information you requested.",john@outlook.com,52,0,0,0,1,0,1,0
crypto today,This is your chance to offer 4415 dollars!!!,user656@freemoney.org,44,2,3,1,1,0,0,1
schedule update,"Hello, here is the meeting information you requested.",lucia@outlook.com,53,0,0,0,1,0,0,0
prize only,This is your chance to discount 7840 dollars!!!,user391@cheapoffers.com,47,0,3,1,0,0,0,1
update update,"Hello, here is the meeting information you requested.",john@outlook.com,53,1,0,0,1,0,0,0
lottery only,This is your chance to money 8944 dollars!!!,user975@cheapoffers.com,44,0,3,1,1,0,1,1
team update,"Hello, here is the team information you requested.",john@outlook.com,50,0,0,0,1,0,0,0
university update,"Hello, here is the report information you requested.",kevin@gmail.com,52,1,0,0,1,0,0,0
meeting update,"Hello, here is the team information you requested.",lucia@outlook.com,50,1,0,0,1,0,0,0
project update,"Hello, here is the family information you requested.",lucia@outlook.com,52,0,0,0,1,0,1,0
team update,"Hello, here is the meeting information you requested.",lucia@udec.edu,53,0,0,0,1,0,1,0
university update,"Hello, here is the university information you requested.",john@gmail.com,56,0,0,0,1,0,1,0
university update,"Hello, here is the report information you requested.",john@gmail.com,52,0,0,0,1,0,0,0
update update,"Hello, here is the university information you requested.",lucia@outlook.com,56,0,0,0,1,0,1,0
lottery now,This is your chance to lottery 6117 dollars!!!,user552@lottery.net,46,1,3,1,0,0,0,1
schedule update,"Hello, here is the document information you requested.",john@outlook.com,54,1,0,0,1,0,0,0
report update,"Hello, here is the meeting information you requested.",kevin@udec.edu,53,0,0,0,1,0,0,0
university update,"Hello, here is the university information you requested.",kevin@gmail.com,56,0,0,0,1,0,0,0
university update,"Hello, here is the meeting information you requested.",lucia@udec.edu,53,0,0,0,1,0,0,0
prize today,This is your chance to free 8816 dollars!!!,user948@cheapoffers.com,43,2,3,1,1,0,1,1
free only,This is your chance to urgent 9744 dollars!!!,user825@lottery.net,45,2,3,1,1,0,1,1
team update,"Hello, here is the update information you requested.",kevin@gmail.com,52,0,0,0,1,0,1,0
invoice update,"Hello, here is the project information you requested.",lucia@udec.edu,53,0,0,0,1,0,1,0
university update,"Hello, here is the report information you requested.",lucia@gmail.com,52,0,0,0,1,0,1,0
project update,"Hello, here is the family information you requested.",maria@gmail.com,52,0,0,0,1,0,0,0
document update,"Hello, here is the invoice information you requested.",maria@outlook.com,53,0,0,0,1,0,0,0
meeting update,"Hello, here is the invoice information you requested.",john@udec.edu,53,1,0,0,1,0,0,0
offer now,This is your chance to win 3941 dollars!!!,user105@lottery.net,42,0,3,1,0,0,0,1
team update,"Hello, here is the project information you requested.",john@udec.edu,53,0,0,0,1,0,0,0
university update,"Hello, here is the report information you requested.",maria@outlook.com,52,0,0,0,1,0,0,0
university update,"Hello, here is the team information you requested.",kevin@gmail.com,50,1,0,0,1,0,1,0
money now,This is your chance to urgent 5517 dollars!!!,user681@lottery.net,45,1,3,1,0,0,0,1
document update,"Hello, here is the document information you requested.",john@udec.edu,54,1,0,0,1,0,1,0
offer only,This is your chance to gift 3978 dollars!!!,user398@cheapoffers.com,43,1,3,1,1,0,1,1
invoice update,"Hello, here is the team information you requested.",john@outlook.com,50,0,0,0,1,0,0,0
report update,"Hello, here is the schedule information you requested.",maria@outlook.com,54,0,0,0,1,0,0,0
update update,"Hello, here is the update information you requested.",lucia@gmail.com,52,1,0,0,1,0,1,0
meeting update,"Hello, here is the document information you requested.",maria@gmail.com,54,0,0,0,1,0,0,0
update update,"Hello, here is the report information you requested.",lucia@outlook.com,52,0,0,0,1,0,1,0
lottery only,This is your chance to crypto 4964 dollars!!!,user302@freemoney.org,45,0,3,1,0,0,1,1
project update,"Hello, here is the university information you requested.",lucia@outlook.com,56,1,0,0,1,0,0,0
win today,This is your chance to gift 1929 dollars!!!,user354@freemoney.org,43,2,3,1,0,0,0,1
urgent today,This is your chance to discount 3492 dollars!!!,user246@freemoney.org,47,0,3,1,1,0,0,1
update update,"Hello, here is the family information you requested.",maria@gmail.com,52,0,0,0,1,0,1,0
lottery only,This is your chance to gift 2180 dollars!!!,user711@lottery.net,43,0,3,1,1,0,0,1
document update,"Hello, here is the report information you requested.",maria@udec.edu,52,0,0,0,1,0,1,0
prize only,This is your chance to crypto 6243 dollars!!!,user800@cheapoffers.com,45,1,3,1,0,0,1,1
urgent only,This is your chance to money 8216 dollars!!!,user342@lottery.net,44,2,3,1,0,0,1,1
lottery today,This is your chance to prize 8902 dollars!!!,user373@lottery.net,44,1,3,1,1,0,1,1
schedule update,"Hello, here is the document information you requested.",john@outlook.com,54,1,0,0,1,0,1,0
invoice update,"Hello, here is the meeting information you requested.",john@outlook.com,53,0,0,0,1,0,1,0
university update,"Hello, here is the report information you requested.",john@gmail.com,52,0,0,0,1,0,0,0
report update,"Hello, here is the university information you requested.",maria@udec.edu,56,0,0,0,1,0,1,0
gift now,This is your chance to lottery 3211 dollars!!!,user126@freemoney.org,46,1,3,1,1,0,0,1
report update,"Hello, here is the invoice information you requested.",maria@gmail.com,53,0,0,0,1,0,1,0
team update,"Hello, here is the family information you requested.",kevin@udec.edu,52,0,0,0,1,0,1,0
project update,"Hello, here is the schedule information you requested.",lucia@udec.edu,54,1,0,0,1,0,1,0
schedule update,"Hello, here is the team information you requested.",maria@udec.edu,50,0,0,0,1,0,0,0
document update,"Hello, here is the project information you requested.",john@gmail.com,53,1,0,0,1,0,1,0
family update,"Hello, here is the document information you requested.",john@udec.edu,54,0,0,0,1,0,1,0
offer only,This is your chance to urgent 8499 dollars!!!,user297@lottery.net,45,1,3,1,1,0,1,1
urgent now,This is your chance to free 8451 dollars!!!,user496@freemoney.org,43,0,3,1,0,0,1,1
schedule update,"Hello, here is the team information you requested.",lucia@gmail.com,50,1,0,0,1,0,0,0
lottery now,This is your chance to urgent 7669 dollars!!!,user191@cheapoffers.com,45,1,3,1,0,0,0,1
family update,"Hello, here is the project information you requested.",lucia@gmail.com,53,0,0,0,1,0,1,0
team update,"Hello, here is the family information you requested.",lucia@outlook.com,52,0,0,0,1,0,0,0
invoice update,"Hello, here is the document information you requested.",maria@udec.edu,54,1,0,0,1,0,0,0
university update,"Hello, here is the update information you requested.",john@udec.edu,52,1,0,0,1,0,0,0
team update,"Hello, here is the report information you requested.",lucia@gmail.com,52,1,0,0,1,0,1,0
document update,"Hello, here is the schedule information you requested.",kevin@outlook.com,54,0,0,0,1,0,0,0
urgent only,This is your chance to discount 1098 dollars!!!,user548@cheapoffers.com,47,2,3,1,1,0,1,1
report update,"Hello, here is the project information you requested.",john@udec.edu,53,0,0,0,1,0,0,0
meeting update,"Hello, here is the family information you requested.",john@gmail.com,52,0,0,0,1,0,0,0
family update,"Hello, here is the update information you requested.",lucia@outlook.com,52,0,0,0,1,0,1,0
crypto only,This is your chance to money 5706 dollars!!!,user529@lottery.net,44,0,3,1,1,0,1,1
team update,"Hello, here is the document information you requested.",john@gmail.com,54,0,0,0,1,0,1,0
schedule update,"Hello, here is the document information you requested.",kevin@udec.edu,54,1,0,0,1,0,1,0
project update,"Hello, here is the document information you requested.",john@gmail.com,54,0,0,0,1,0,0,0
report update,"Hello, here is the report information you requested.",lucia@outlook.com,52,1,0,0,1,0,0,0
crypto today,This is your chance to urgent 403 dollars!!!,user285@lottery.net,44,1,3,1,1,0,0,1
update update,"Hello, here is the meeting information you requested.",john@udec.edu,53,0,0,0,1,0,1,0
win today,This is your chance to win 8795 dollars!!!,user263@freemoney.org,42,1,3,1,1,0,0,1
lottery only,This is your chance to win 124 dollars!!!,user906@cheapoffers.com,41,2,3,1,1,0,1,1
prize now,This is your chance to free 7264 dollars!!!,user538@cheapoffers.com,43,1,3,1,0,0,0,1
update update,"Hello, here is the university information you requested.",lucia@udec.edu,56,1,0,0,1,0,0,0
free only,This is your chance to offer 7770 dollars!!!,user159@cheapoffers.com,44,1,3,1,1,0,1,1
university update,"Hello, here is the meeting information you requested.",lucia@udec.edu,53,1,0,0,1,0,0,0
report update,"Hello, here is the project information you requested.",kevin@outlook.com,53,0,0,0,1,0,1,0
crypto now,This is your chance to win 962 dollars!!!,user201@freemoney.org,41,0,3,1,1,0,1,1
project update,"Hello, here is the university information you requested.",kevin@gmail.com,56,1,0,0,1,0,0,0
prize now,This is your chance to offer 7786 dollars!!!,user226@cheapoffers.com,44,1,3,1,1,0,1,1
team update,"Hello, here is the update information you requested.",maria@gmail.com,52,1,0,0,1,0,0,0
university update,"Hello, here is the meeting information you requested.",maria@udec.edu,53,1,0,0,1,0,0,0
meeting update,"Hello, here is the schedule information you requested.",kevin@gmail.com,54,0,0,0,1,0,1,0
invoice update,"Hello, here is the document information you requested.",maria@gmail.com,54,1,0,0,1,0,1,0
meeting update,"Hello, here is the update information you requested.",kevin@udec.edu,52,1,0,0,1,0,0,0
invoice update,"Hello, here is the meeting information you requested.",lucia@outlook.com,53,1,0,0,1,0,1,0
document update,"Hello, here is the document information you requested.",lucia@outlook.com,54,0,0,0,1,0,0,0
report update,"Hello, here is the document information you requested.",john@udec.edu,54,0,0,0,1,0,1,0
team update,"Hello, here is the family information you requested.",maria@outlook.com,52,0,0,0,1,0,1,0
document update,"Hello, here is the update information you requested.",john@outlook.com,52,0,0,0,1,0,0,0
report update,"Hello, here is the project information you requested.",kevin@gmail.com,53,0,0,0,1,0,0,0
schedule update,"Hello, here is the update information you requested.",maria@gmail.com,52,1,0,0,1,0,0,0
offer now,This is your chance to discount 3835 dollars!!!,user902@freemoney.org,47,2,3,1,0,0,1,1
team update,"Hello, here is the meeting information you requested.",kevin@outlook.com,53,1,0,0,1,0,0,0
discount today,This is your chance to prize 2949 dollars!!!,user104@cheapoffers.com,44,1,3,1,1,0,1,1
invoice update,"Hello, here is the family information you requested.",lucia@udec.edu,52,1,0,0,1,0,0,0
update update,"Hello, here is the invoice information you requested.",john@udec.edu,53,1,0,0,1,0,1,0
schedule update,"Hello, here is the meeting information you requested.",lucia@gmail.com,53,0,0,0,1,0,1,0
schedule update,"Hello, here is the university information you requested.",lucia@udec.edu,56,0,0,0,1,0,1,0
free today,This is your chance to win 2024 dollars!!!,user588@lottery.net,42,1,3,1,1,0,1,1
team update,"Hello, here is the meeting information you requested.",lucia@gmail.com,53,0,0,0,1,0,0,0
update update,"Hello, here is the update information you requested.",maria@udec.edu,52,0,0,0,1,0,1,0
document update,"Hello, here is the document information you requested.",kevin@outlook.com,54,0,0,0,1,0,0,0
meeting update,"Hello, here is the meeting information you requested.",kevin@gmail.com,53,0,0,0,1,0,1,0
urgent only,This is your chance to gift 3702 dollars!!!,user985@freemoney.org,43,0,3,1,1,0,1,1
document update,"Hello, here is the meeting information you requested.",kevin@gmail.com,53,0,0,0,1,0,0,0
document update,"Hello, here is the update information you requested.",kevin@udec.edu,52,1,0,0,1,0,1,0
discount now,This is your chance to gift 2696 dollars!!!,user788@cheapoffers.com,43,2,3,1,0,0,1,1
invoice update,"Hello, here is the team information you requested.",lucia@udec.edu,50,1,0,0,1,0,1,0
crypto only,This is your chance to gift 8795 dollars!!!,user746@freemoney.org,43,2,3,1,0,0,0,1
team update,"Hello, here is the document information you requested.",john@udec.edu,54,1,0,0,1,0,0,0
family update,"Hello, here is the team information you requested.",john@udec.edu,50,0,0,0,1,0,0,0
team update,"Hello, here is the family information you requested.",kevin@gmail.com,52,0,0,0,1,0,0,0
meeting update,"Hello, here is the meeting information you requested.",kevin@outlook.com,53,0,0,0,1,0,0,0
urgent only,This is your chance to lottery 2778 dollars!!!,user192@cheapoffers.com,46,0,3,1,1,0,1,1
meeting update,"Hello, here is the report information you requested.",kevin@udec.edu,52,0,0,0,1,0,1,0
update update,"Hello, here is the report information you requested.",john@outlook.com,52,0,0,0,1,0,0,0
invoice update,"Hello, here is the report information you requested.",lucia@gmail.com,52,0,0,0,1,0,0,0
report update,"Hello, here is the university information you requested.",john@gmail.com,56,1,0,0,1,0,0,0
team update,"Hello, here is the project information you requested.",lucia@udec.edu,53,0,0,0,1,0,1,0
invoice update,"Hello, here is the university information you requested.",lucia@udec.edu,56,0,0,0,1,0,1,0
university update,"Hello, here is the schedule information you requested.",john@udec.edu,54,0,0,0,1,0,1,0
team update,"Hello, here is the report information you requested.",lucia@outlook.com,52,1,0,0,1,0,1,0
meeting update,"Hello, here is the meeting information you requested.",lucia@outlook.com,53,0,0,0,1,0,0,0
discount only,This is your chance to free 2170 dollars!!!,user456@lottery.net,43,2,3,1,0,0,0,1
schedule update,"Hello, here is the invoice information you requested.",lucia@gmail.com,53,1,0,0,1,0,1,0
team update,"Hello, here is the family information you requested.",kevin@gmail.com,52,0,0,0,1,0,0,0
university update,"Hello, here is the invoice information you requested.",john@outlook.com,53,1,0,0,1,0,1,0
meeting update,"Hello, here is the meeting information you requested.",kevin@udec.edu,53,0,0,0,1,0,1,0
team update,"Hello, here is the document information you requested.",lucia@outlook.com,54,0,0,0,1,0,0,0
project update,"Hello, here is the report information you requested.",john@udec.edu,52,0,0,0,1,0,1,0
university update,"Hello, here is the update information you requested.",john@outlook.com,52,1,0,0,1,0,0,0
meeting update,"Hello, here is the project information you requested.",lucia@udec.edu,53,0,0,0,1,0,1,0
prize today,This is your chance to discount 914 dollars!!!,user549@cheapoffers.com,46,1,3,1,1,0,1,1
team update,"Hello, here is the team information you requested.",lucia@udec.edu,50,0,0,0,1,0,1,0
lottery now,This is your chance to discount 4709 dollars!!!,user630@freemoney.org,47,2,3,1,1,0,1,1
lottery now,This is your chance to crypto 3150 dollars!!!,user436@lottery.net,45,1,3,1,0,0,1,1
university update,"Hello, here is the project information you requested.",john@gmail.com,53,1,0,0,1,0,1,0
prize today,This is your chance to money 7945 dollars!!!,user274@lottery.net,44,0,3,1,1,0,1,1
family update,"Hello, here is the project information you requested.",john@gmail.com,53,0,0,0,1,0,1,0
prize only,This is your chance to prize 2390 dollars!!!,user527@cheapoffers.com,44,0,3,1,1,0,1,1
offer only,This is your chance to win 1051 dollars!!!,user934@freemoney.org,42,0,3,1,1,0,0,1
meeting update,"Hello, here is the family information you requested.",kevin@udec.edu,52,1,0,0,1,0,0,0
invoice update,"Hello, here is the report information you requested.",john@outlook.com,52,0,0,0,1,0,1,0
free only,This is your chance to offer 5536 dollars!!!,user777@cheapoffers.com,44,2,3,1,1,0,1,1
family update,"Hello, here is the document information you requested.",john@gmail.com,54,0,0,0,1,0,0,0
discount today,This is your chance to crypto 5776 dollars!!!,user339@lottery.net,45,0,3,1,1,0,1,1
crypto only,This is your chance to discount 3734 dollars!!!,user206@cheapoffers.com,47,0,3,1,1,0,1,1
invoice update,"Hello, here is the report information you requested.",john@outlook.com,52,0,0,0,1,0,1,0
report update,"Hello, here is the meeting information you requested.",maria@outlook.com,53,0,0,0,1,0,0,0
update update,"Hello, here is the invoice information you requested.",john@udec.edu,53,1,0,0,1,0,0,0
schedule update,"Hello, here is the report information you requested.",lucia@udec.edu,52,0,0,0,1,0,1,0
invoice update,"Hello, here is the report information you requested.",maria@gmail.com,52,1,0,0,1,0,1,0
family update,"Hello, here is the document information you requested.",lucia@outlook.com,54,1,0,0,1,0,1,0
urgent now,This is your chance to gift 2665 dollars!!!,user125@lottery.net,43,1,3,1,0,0,0,1
meeting update,"Hello, here is the family information you requested.",maria@udec.edu,52,0,0,0,1,0,1,0
meeting update,"Hello, here is the project information you requested.",kevin@udec.edu,53,0,0,0,1,0,1,0
team update,"Hello, here is the university information you requested.",maria@outlook.com,56,0,0,0,1,0,0,0
update update,"Hello, here is the team information you requested.",maria@gmail.com,50,0,0,0,1,0,1,0
invoice update,"Hello, here is the family information you requested.",kevin@outlook.com,52,0,0,0,1,0,0,0
invoice update,"Hello, here is the document information you requested.",lucia@outlook.com,54,0,0,0,1,0,0,0
meeting update,"Hello, here is the family information you requested.",lucia@outlook.com,52,0,0,0,1,0,0,0
crypto only,This is your chance to discount 4421 dollars!!!,user598@lottery.net,47,2,3,1,0,0,1,1
free today,This is your chance to money 4234 dollars!!!,user381@freemoney.org,44,0,3,1,0,0,0,1
crypto only,This is your chance to offer 3624 dollars!!!,user557@lottery.net,44,0,3,1,1,0,0,1
family update,"Hello, here is the report information you requested.",lucia@udec.edu,52,0,0,0,1,0,1,0
team update,"Hello, here is the team information you requested.",kevin@outlook.com,50,0,0,0,1,0,1,0
university update,"Hello, here is the meeting information you requested.",maria@gmail.com,53,0,0,0,1,0,1,0
team update,"Hello, here is the update information you requested.",john@gmail.com,52,0,0,0,1,0,0,0
team update,"Hello, here is the update information you requested.",maria@udec.edu,52,0,0,0,1,0,1,0
meeting update,"Hello, here is the family information you requested.",john@outlook.com,52,1,0,0,1,0,0,0
win today,This is your chance to win 5777 dollars!!!,user451@lottery.net,42,1,3,1,1,0,1,1
lottery only,This is your chance to gift 8423 dollars!!!,user618@freemoney.org,43,2,3,1,0,0,0,1
document update,"Hello, here is the meeting information you requested.",maria@gmail.com,53,0,0,0,1,0,0,0
schedule update,"Hello, here is the report information you requested.",kevin@outlook.com,52,1,0,0,1,0,0,0
team update,"Hello, here is the update information you requested.",kevin@udec.edu,52,0,0,0,1,0,0,0
document update,"Hello, here is the document information you requested.",john@udec.edu,54,0,0,0,1,0,1,0
team update,"Hello, here is the family information you requested.",kevin@outlook.com,52,1,0,0,1,0,1,0
gift only,This is your chance to offer 7609 dollars!!!,user555@freemoney.org,44,0,3,1,0,0,1,1
invoice update,"Hello, here is the update information you requested.",maria@gmail.com,52,0,0,0,1,0,0,0
invoice update,"Hello, here is the document information you requested.",kevin@outlook.com,54,1,0,0,1,0,1,0
invoice update,"Hello, here is the schedule information you requested.",lucia@gmail.com,54,1,0,0,1,0,0,0
offer today,This is your chance to prize 3147 dollars!!!,user485@lottery.net,44,1,3,1,0,0,0,1
win today,This is your chance to urgent 165 dollars!!!,user716@cheapoffers.com,44,1,3,1,1,0,0,1
free only,This is your chance to discount 6156 dollars!!!,user817@cheapoffers.com,47,2,3,1,0,0,1,1
invoice update,"Hello, here is the project information you requested.",maria@gmail.com,53,0,0,0,1,0,0,0
crypto now,This is your chance to free 6017 dollars!!!,user651@cheapoffers.com,43,0,3,1,0,0,0,1
lottery now,This is your chance to win 3070 dollars!!!,user261@cheapoffers.com,42,2,3,1,0,0,1,1
university update,"Hello, here is the invoice information you requested.",maria@gmail.com,53,0,0,0,1,0,0,0
prize today,This is your chance to prize 8397 dollars!!!,user926@lottery.net,44,0,3,1,0,0,1,1
prize now,This is your chance to discount 8423 dollars!!!,user763@cheapoffers.com,47,1,3,1,0,0,0,1
document update,"Hello, here is the team information you requested.",john@udec.edu,50,0,0,0,1,0,1,0
report update,"Hello, here is the university information you requested.",lucia@udec.edu,56,1,0,0,1,0,1,0
meeting update,"Hello, here is the update information you requested.",kevin@udec.edu,52,1,0,0,1,0,1,0
free only,This is your chance to money 8236 dollars!!!,user478@freemoney.org,44,1,3,1,0,0,0,1
invoice update,"Hello, here is the meeting information you requested.",lucia@gmail.com,53,0,0,0,1,0,1,0
win now,This is your chance to lottery 7446 dollars!!!,user990@freemoney.org,46,0,3,1,0,0,1,1
update update,"Hello, here is the university information you requested.",maria@outlook.com,56,0,0,0,1,0,0,0
family update,"Hello, here is the invoice information you requested.",john@udec.edu,53,1,0,0,1,0,1,0
project update,"Hello, here is the family information you requested.",maria@udec.edu,52,0,0,0,1,0,1,0
project update,"Hello, here is the schedule information you requested.",john@gmail.com,54,0,0,0,1,0,1,0
report update,"Hello, here is the schedule information you requested.",maria@gmail.com,54,0,0,0,1,0,0,0
prize today,This is your chance to money 2178 dollars!!!,user627@lottery.net,44,2,3,1,0,0,1,1
discount today,This is your chance to offer 4003 dollars!!!,user868@lottery.net,44,0,3,1,1,0,1,1
report update,"Hello, here is the team information you requested.",kevin@gmail.com,50,0,0,0,1,0,1,0
lottery only,This is your chance to gift 8359 dollars!!!,user407@lottery.net,43,1,3,1,1,0,0,1
money now,This is your chance to lottery 4200 dollars!!!,user865@cheapoffers.com,46,1,3,1,1,0,1,1
schedule update,"Hello, here is the university information you requested.",kevin@outlook.com,56,1,0,0,1,0,0,0
offer today,This is your chance to prize 4025 dollars!!!,user996@lottery.net,44,2,3,1,0,0,0,1
schedule update,"Hello, here is the university information you requested.",maria@gmail.com,56,1,0,0,1,0,1,0
document update,"Hello, here is the university information you requested.",john@gmail.com,56,0,0,0,1,0,1,0
project update,"Hello, here is the document information you requested.",maria@outlook.com,54,1,0,0,1,0,0,0
team update,"Hello, here is the document information you requested.",lucia@outlook.com,54,0,0,0,1,0,0,0
team update,"Hello, here is the team information you requested.",kevin@outlook.com,50,1,0,0,1,0,1,0
university update,"Hello, here is the invoice information you requested.",lucia@udec.edu,53,0,0,0,1,0,1,0
update update,"Hello, here is the team information you requested.",kevin@outlook.com,50,0,0,0,1,0,0,0
